question,ground_truth,generated_answer
"Tôi có chứng chỉ hành nghề dược trình độ cao đẳng, tôi có thể làm phụ trách chuyên môn cho nhà thuốc...","Không được Bạn chỉ được chịu trách nhiệm chuyên môn cho cơ sở bán lẻ thuốc: quầy thuốc, tủ thuốc.","Theo quy định tại Điều 8, Thông tư số 36/2018/TT-BYT, phụ trách chuyên môn của nhà thuốc phải có chứng chỉ hành nghề dược trình độ đại học trở lên. Vì vậy, bạn không đáp ứng điều kiện làm phụ trách chuyên môn của nhà thuốc."
Tổ chức Bảo hiểm y tế thanh toán chi phí KCB BHYT theo những hình thức nào?,"Tổ chức Bảo hiểm y tế thanh toán chi phí khám bệnh, chữa bệnh BHYT theo các hình thức sau (Khoản 1, Khoản 2, Điều 31 Luật BHYT): 1. Với cơ sở KCB theo hợp đồng khám bệnh, chữa bệnh BHYT. 2. Thanh toán trực tiếp cho người có thẻ BHYT: khi đi khám bệnh, chữa bệnh tại cơ sở KCB không có hợp đồng khám bệnh, chữa bệnh BHYT; khám bệnh, chữa bệnh không đúng quy định; khám bệnh, chữa bệnh tại nước ngoài.",Tổ chức BHYT thanh toán chi phí KCB BHYT theo hình thức thanh toán tiền mặt (Điều 23 Luật BHYT).
"Đối với đối tượng Thân nhân của lực lượng công nhân, viên chức Quốc phòng đang phục vụ trong Quân độ...","Mức đóng bằng 4,5% mức lương cơ sở đối với Thân nhân của công nhân, viên chức quốc phòng đang phục vụ trong Quân đội, bao gồm đối tượng “ (1) Cha đẻ, mẹ đẻ; cha đẻ, mẹ đẻ của vợ hoặc chồng; người nuôi dưỡng hợp pháp của bản thân, của vợ hoặc của chồng; (2) Vợ hoặc chồng; (3) Con đẻ, con nuôi hợp pháp từ trên 6 tuổi đến dưới 18 tuổi; con đẻ, con nuôi hợp pháp từ đủ 18 tuổi trở lên nếu còn tiếp tục đi học phổ thông.” và do người sử dụng lao động đóng; Trường hợp các thân nhân nêu trên đồng thời thuộc nhiều đối tượng tham gia BHYT khác nhau quy định tại các Điều 1, 2, 3 và 4 NĐ số 146/2018/NĐ-CP thì đóng BHYT theo thứ tự như sau: Do người lao động và người sử dụng lao động đóng; do cơ quan bảo hiểm xã hội đóng; do ngân sách nhà nước đóng; do người sử dụng lao động đóng.","Thân nhân của lực lượng công nhân, viên chức Quốc phòng đang phục vụ trong Quân đội (đối tượng 1, 2, 3, 4, 5, 6) được hưởng chính sách BHYT theo quy định của Luật BHYT."
"Thầy thuốc là trưởng, phó khoa các bệnh viện và trung tâm chuyên khoa có phải là thầy thuốc làm công...","Theo Khoản 2 Điều 3 Nghị định 41/2015/NĐ-CP thầy thuốc làm công tác quản lý y tế là người đứng đầu, cấp phó của người đứng đầu các cơ sở y tế, viên chức làm việc trong các phòng, ban, văn phòng của bệnh viện, viện, trung tâm.","Thầy thuốc là trưởng, phó khoa các bệnh viện và trung tâm chuyên khoa không phải là thầy thuốc làm công tác quản lý hành chính. Thầy thuốc là người trực tiếp làm việc trong lĩnh vực y tế và được tổ chức quản lý theo chế độ làm việc hưởng lương theo quy định của pháp luật về tiền lương, tiền công."
Cơ quan nào có trách nhiệm quản lý Quỹ BHYT ?,"Bảo hiểm xã hội Việt Nam thực hiện việc thu, chi, quản lý và quyết toán quỹ BHYT theo quy định của pháp luật. Bảo hiểm xã hội Việt Nam được mở tài khoản tiền gửi quỹ BHYT tại hệ thống Kho bạc Nhà nước và Ngân hàng thương mại của Nhà nước. Số dư trên tài khoản tiền gửi được hưởng lãi suất tiền gửi theo quy định của Kho bạc Nhà nước và Ngân hàng thương mại của Nhà nước. (Điều 15, Nghị định số 62).",Cơ quan nhà nước có trách nhiệm quản lý quỹ BHYT là Bộ Y tế (Điều 23 Luật BHYT).
"Kinh phí hoạt động xét tặng TTND, TTUT được Thủ trưởng đơn vị bố trí từ nguồn nào của đơn vị?","Theo Điều 8 Nghị định 41/2015/NĐ-CP Thủ trưởng đơn vị có trách nhiệm bố trí kinh phí hoạt động xét tặng danh hiệu TTND-TTUT trích từ quỹ thi đua, khen thưởng của đơn vị hoặc nguồn xã hội hóa hợp pháp.","Kinh phí hoạt động xét tặng TTND, TTUT được bố trí từ nguồn thu của đơn vị theo quy định của pháp luật về quản lý, sử dụng quỹ BHYT."
Quỹ KCB do BHXH tỉnh quản lý trong năm không sử dụng hết được sử dụng như thế nào ?,"Quỹ KCB do BHXH tỉnh quản lý 60% trong năm không sử dụng hết được sử dụng như sau (Điều 21, Thông tư 09): 1. Nội dung sử dụng: - Mua sắm, bảo dưỡng trang thiết bị y tế cần thiết cho các cơ sở y tế tại địa phương; tập trung ưu tiên cho các Trạm y tế xã và cơ sở y tế thuộc địa bàn kinh tế - xã hội khó khăn. - Tập huấn nâng cao trình độ nghiệp vụ cho cán bộ y tế và cán bộ các ngành liên quan đến thực hiện chính sách BHYT tại địa phương. - Hỗ trợ công tác thanh tra, kiểm tra liên ngành, khen thưởng cho tập thể, cá nhân thực hiện tốt chính sách khám bệnh, chữa bệnh BHYT tại địa phương. 2. Căn cứ số kinh phí kết dư hằng năm được sử dụng tại địa phương do BHXH tỉnh báo cáo, Sở Y tế chủ trì, phối hợp với Sở Tài chính và BHXH tỉnh xây dựng kế hoạch sử dụng trình Uỷ ban nhân dân tỉnh, thành phố phê duyệt. 3. Căn cứ quyết định phê duyệt của Uỷ ban nhân dân tỉnh, BHXH tỉnh chuyển kinh phí cho các đơn vị. BHXH tỉnh có trách nhiệm kiểm tra, giám sát việc sử dụng kinh phí tại các đơn vị, bảo đảm đúng mục đích, công khai, minh bạch. 4. Các đơn vị được phân bổ kinh phí có trách nhiệm quản lý, sử dụng theo quy định hiện hành và quyết toán với BHXH tỉnh để tổng hợp vào quyết toán chi của quỹ BHYT của tỉnh. Chậm nhất đến ngày 30 tháng 6 năm sau, nếu không sử dụng hết thì chuyển vào quỹ khám bệnh, chữa bệnh BHYT của tỉnh năm sau.","Quỹ KCB BHYT do BHXH quản lý trong năm không sử dụng hết được sử dụng để thanh toán chi phí khám bệnh, chữa bệnh BHYT cho các đối tượng sau (Khoản 3 Điều 14 Luật BHYT): 1. Người tham gia BHYT theo quy định của Luật BHYT. 2. Người tham gia BHYT theo quy định của Luật BHYT nhưng chưa được hưởng quyền lợi về BHYT. 3. Người có thẻ BHYT được cấp trước ngày 01/01/2010."
Cho em hỏi em tốt nghiệp bác sĩ chuyên khoa YHCT tại Trung Quốc năm 2010 và học 1 năm định hướng lớp...,"Căn cứ điểm a khoản 1 điều 24 của Luật khám bệnh, chữa bệnh thì bác sĩ trước khi được cấp chứng chỉ hành nghề phải qua thời gian thực hành 18 tháng tại bệnh viện, viện nghiên cứu có giường bệnh. Căn cứ Khoản 3 Điều 16 Nghị định 109/2016/NĐ-CP của Chính phủ: “Người hướng dẫn thực hành phải là người có chứng chỉ hành nghề, có phạm vi hoạt động chuyên môn phù hợp với văn bằng của người thực hành, có trình độ đào tạo tương đương hoặc cao hơn người thực hành và có thời gian hành nghề khám bệnh, chữa bệnh liên tục từ 03 năm trở lên” Trường hợp của bạn, để được cấp CCHN bạn phải có thời gian thực hành đủ 18 tháng tại trung tâm y tế (trong trường hợp trung tâm y tế có khoa YHCT) hoặc bệnh viện YHCT, khoa YHCT của bệnh viện, viện nghiên cứu có giường bệnh (có xác nhận của lãnh đạo cơ sở khám chữa bệnh), đồng thời người hướng dẫn thực hành cho bạn cũng cần đủ điều kiện theo quy định nêu trên.","Căn cứ quy định tại Điều 3, Điều 5 của Nghị định số 91/2016/NĐ-CP ngày 01/7/2016 của Chính phủ quy định về cấp giấy chứng nhận hành nghề, giấy phép hành nghề và cấp giấy phép hoạt động y tế; Điều 5, Điều 6 của Nghị định số 109/2016/NĐ-CP ngày 01/7/2016 của Chính phủ sửa đổi, bổ sung một số quy định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý Nhà nước của Bộ Y tế; Điều 7, Điều 8 của Nghị định số 109/2016/NĐ-CP ngày 01/7/2016 của Chính phủ sửa đổi, bổ sung một số quy định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý Nhà nước của Bộ Y tế; Điều 6, Điều 7, Điều 8 của Nghị định số 109/2016/NĐ-CP ngày 01/7/2016 của Chính phủ sửa đổi, bổ sung một số quy định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý Nhà nước của Bộ Y tế và Nghị định số 109/2016/NĐ-CP ngày 01/7/2016 của Chính phủ sửa đổi, bổ sung một số quy định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý Nhà nước của Bộ Y tế. Người có văn bằng, chứng chỉ được cấp tại Trung Quốc, nước ngoài phải được Bộ Y tế công nhận theo quy định của pháp luật về công nhận văn bằng, chứng chỉ giáo dục và đào tạo. Sau khi được công nhận, người đó có thể đăng ký làm bác sĩ chuyên khoa YHCT tại Việt Nam."
"Thủ tục thanh toán trực tiếp chi phí khám bệnh, chữa bệnh cho người có thẻ BHYT được quy định như thế nào?","Thủ tục thanh toán trực tiếp chi phí khám bệnh, chữa bệnh cho người có thẻ BHYT được quy định như sau (Điều 19, Thông tư 09): 1. Hồ sơ đề nghị thanh toán, bao gồm: Giấy đề nghị thanh toán của người bệnh có thẻ BHYT (lập theo mẫu do BHXH Việt Nam ban hành); Thẻ BHYT (bản sao); Giấy ra viện hoặc hồ sơ bệnh án (bản chính hoặc bản sao); Các chứng từ hợp lệ (đơn thuốc, sổ y bạ, hóa đơn mua thuốc, hóa đơn thu viện phí và các chứng từ có liên quan khác). 2. Trường hợp đi khám bệnh, chữa bệnh ở nước ngoài, hồ sơ đề nghị thanh toán còn bao gồm ý kiến trước khi đi khám chữa bệnh của một cơ sở y tế tuyến tỉnh hoặc tuyến trung ương xác nhận về tình trạng bệnh và hướng điều trị. Trường hợp được cử đi công tác hoặc học tập tại nước ngoài, phải có thêm quyết định của cấp có thẩm quyền cử đi công tác hoặc học tập tại nước ngoài. Nếu các hồ sơ, chứng từ viết bằng ngôn ngữ nước ngoài, phải dịch sang ngôn ngữ Việt Nam có công chứng.","Thủ tục thanh toán trực tiếp chi phí khám bệnh, chữa bệnh cho người có thẻ BHYT được quy định như sau (Điều 15, Thông tư số 09): 1. Người có thẻ BHYT phải xuất trình thẻ BHYT và giấy chứng nhận BHYT có giá trị sử dụng tại cơ sở khám bệnh, chữa bệnh BHYT để được hưởng quyền lợi theo quy định. 2. Người có thẻ BHYT phải tự chịu trách nhiệm về việc sử dụng thẻ BHYT và không được thanh toán chi phí khám bệnh, chữa bệnh cho người khác. 3. Cơ sở khám bệnh, chữa bệnh BHYT có trách nhiệm thực hiện thanh toán chi phí khám bệnh, chữa bệnh cho người có thẻ BHYT theo quy định của pháp luật. 4. Người có thẻ BHYT có trách nhiệm nộp tiền chi phí khám bệnh, chữa bệnh cho cơ sở khám bệnh, chữa bệnh BHYT theo quy định của pháp luật."
Trình tự thực hiện thủ tục Cấp Phiếu tiếp nhận bản công bố dược liệu sản xuất theo GACP-WHO có những bước nào ?,"Bước 1: Tổ chức, cá nhân gửi Hồ sơ công bố dược liệu sản xuất theo GACP-WHO về Cục Quản lý dược - Bộ Y tế.
Bước 2: Cục Quản lý dược tiếp nhận và kiểm tra tính đầy đủ và hợp lệ của hồ sơ theo các qui định hiện hành (tiến hành kiểm tra đánh giá thực tế khi cần thiết).
Bước 3: Cục Quản lý dược sẽ cấp Phiếu tiếp nhận bản công bố dược liệu sản xuất theo GACP-WHO trong thời hạn một tháng kể từ ngày nhận được hồ sơ công bố hợp lệ cùng lệ phí (theo qui định hiện hành).","1. Người có trách nhiệm nộp hồ sơ: Người có trách nhiệm nộp hồ sơ là người đứng đầu hoặc người được người đứng đầu uỷ quyền.
2. Nơi nộp hồ sơ: Người có trách nhiệm nộp hồ sơ tại Cục Quản lý Dược, Bộ Y tế.
3. Số lượng bản chính: 01 bản chính.
4. Thời hạn giải quyết: 03 ngày làm việc.
5. Cơ quan thực hiện: Cục Quản lý Dược, Bộ Y tế.
6. Phí, lệ phí: 1.000.000 đồng."
"Để được cấp mới giấy chứng nhận cơ sở xét nghiệm đạt tiêu chuẩn an toàn sinh học cấp III, tổ chức cá...","Hồ sơ cấp mới giấy chứng nhận cơ sở xét nghiệm đạt tiêu chuẩn an toàn sinh học cấp III, được thực hiện theo quy định tại Khoản 1, Điều 14, Nghị định số 155/2018/NĐ-CP ngày 12/11/2018 của Chính phủ về việc sửa đổi, bổ sung một số quy định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý Nhà nước của Bộ Y tế và Khoản 1, Điều 11, Nghị định số 103/2016/NĐ-CP ngày 01/7/2016 của Chính phủ quy định về đảm bảo an toàn sinh học tại phòng xét nghiệm, cụ thể: - Đơn đề nghị cấp mới giấy chứng nhận an toàn sinh học theo Mẫu số 02 tại Phụ lục ban hành kèm theo Nghị định số 103/2016/NĐ- CP ngày 01/7/2016. - Bản kê khai nhân sự theo Mẫu số 03 tại Phụ lục ban hành kèm theo Nghị định số 103/2016/NĐ- CP ngày 01/7/2016. - Bản kê khai trang thiết bị theo Mẫu số 04 tại Phụ lục ban hành kèm theo Nghị định số 103/2016/NĐ-CP ngày 01/7/2016 - Sơ đồ mặt bằng của cơ sở xét nghiệm, gồm: khu vực xét nghiệm; hệ thống cửa sổ, cửa ra vào; hệ thống điện; hệ thống cấp, thoát nước; bố trí các thiết bị phòng, chốngcháy nổ. - Báo cáo bảo trì, bảo dưỡng đối với các thiết bị xét nghiệm đối với cơ sở xét nghiệm đang hoạt động trước ngày Nghị định số 103/2016/NĐ-CP ngày 01/7/2016 có hiệu lực thi hành. - Phương án phòng ngừa, xử lý sự cố an toàn sinh học.",Cơ sở xét nghiệm phải nộp hồ sơ theo quy định tại Khoản 2 Điều 7 Nghị định số 155/2018/NĐ-CP ngày 12/11/2018 của Chính phủ quy định về đảm bảo an toàn sinh học trong xét nghiệm.
"Trách nhiệm của cơ sở khám bệnh, chữa bệnh BHYT ?","Trách nhiệm của cơ sở khám bệnh, chữa bệnh, được luật BHYT quy định như sau (Điều 43 Luật BHYT): 1. Tổ chức khám bệnh, chữa bệnh bảo đảm chất lượng với thủ tục đơn giản, thuận tiện cho người tham gia BHYT. 2. Cung cấp hồ sơ bệnh án, tài liệu liên quan đến khám bệnh, chữa bệnh và thanh toán chi phí khám bệnh, chữa bệnh của người tham gia BHYT theo yêu cầu của tổ chức BHYT và cơ quan nhà nước có thẩm quyền. 3. Bảo đảm điều kiện cần thiết cho tổ chức BHYT thực hiện công tác giám định; phối hợp với tổ chức BHYT trong việc tuyên truyền, giải thích về chế độ BHYT cho người tham gia BHYT. 4. Kiểm tra, phát hiện và thông báo cho tổ chức BHYT những trường hợp vi phạm về sử dụng thẻ BHYT; phối hợp với tổ chức BHYT thu hồi, tạm giữ thẻ BHYT đối với các trường hợp theo quy định của Luật BHYT. 5. Quản lý và sử dụng kinh phí từ quỹ BHYT theo đúng quy định của pháp luật. 6. Tổ chức thực hiện công tác thống kê, báo cáo về BHYT theo quy định của pháp luật.","Cơ sở khám bệnh, chữa bệnh BHYT có trách nhiệm thực hiện các quy định về khám bệnh, chữa bệnh BHYT theo quy định của Luật BHYT; thực hiện đầy đủ, đúng các thủ tục khám bệnh, chữa bệnh BHYT và các thủ tục khác theo quy định của pháp luật; bảo đảm khám bệnh, chữa bệnh BHYT cho người tham gia BHYT theo đúng quy định của pháp luật; cung cấp đầy đủ, chính xác thông tin về khám bệnh, chữa bệnh BHYT cho người tham gia BHYT và cơ quan, tổ chức có liên quan; thực hiện đầy đủ các thủ tục thanh toán chi phí khám bệnh, chữa bệnh BHYT theo quy định của pháp luật."
"Sau khi đánh giá đáp ứng GPP lần đầu và biên bản kết luận đạt, tôi thực hiện luôn việc bán lẻ thuốc ...","- Khi nào được SYT cấp giấy chứng nhận đủ điều kiện KDD, lúc đó mới được hoạt động. Trong thời hạn 10 ngày kể từ ngày kết thúc đánh giá thực tế và ký biên bản đánh giá, nếu kết luận đáp ứng GPP mức độ 1, SYT sẽ cấp giấy CN ĐĐKKDD.","Sau khi đánh giá đáp ứng GPP lần đầu, cơ sở khám bệnh, chữa bệnh được cấp Phiếu tiếp nhận bản công bố đủ điều kiện thực hiện bán lẻ thuốc và được phép bán lẻ thuốc."
Thời gian từ lúc đơn vị tôi nộp hồ sơ xin công nhận đủ điều kiện thực hiện kỹ thuật TTTON hợp lệ đến...,"Từ lúc nhận đủ hồ sơ hợp lệ của đơn vị, trong vòng 60 ngày Bộ Y tế sẽ thành lập Đoàn thẩm định để thẩm định cơ sở xin công nhận đủ điều kiện thực hiện kỹ thuật TTTON.","Trong thời hạn 30 ngày kể từ ngày nhận đủ hồ sơ hợp lệ, cơ quan chuyên môn có trách nhiệm thẩm định hồ sơ và cấp giấy chứng nhận đủ điều kiện thực hiện kỹ thuật TTTON cho đơn vị."
Việc thừa nhận chứng chỉ hành nghề giữa các nước như thế nào ?,"Điều 22 Luật Khám bệnh, chữa bệnh quy định: Việc thừa nhận chứng chỉ hành nghề khám bệnh, chữa bệnh giữa các nước được thực hiện theo quy định của thỏa thuận quốc tế hoặc điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.","Việc thừa nhận chứng chỉ hành nghề giữa các nước được thực hiện theo quy định của Nghị định số 109/2016/NĐ-CP ngày 01/7/2016 của Chính phủ quy định về cấp và quản lý giấy chứng nhận hành nghề, chứng chỉ hành nghề và giấy phép hành nghề đối với một số nghề y, dược và Nghị định số 104/2016/NĐ-CP ngày 01/7/2016 của Chính phủ quy định về điều kiện hành nghề, kinh doanh dịch vụ khám bệnh, chữa bệnh và Nghị định số 103/2016/NĐ-CP ngày 01/7/2016 của Chính phủ quy định về điều kiện đầu tư kinh doanh thuộc phạm vi quản lý Nhà nước của Bộ Y tế."
