Main_Topic,Câu hỏi,Trả lời
NHỮNG VẤN ĐỀ CHUNG,Những hành vi nào bị nghiêm cấm trong luật bảo hiểm y tế?,"Các hành vi bị nghiêm cấm bao gồm (Điều 11, Luật BHYT): 1. Không đóng hoặc đóng bảo hiểm y tế không đầy đủ theo quy định của Luật này. 2. Gian lận, giả mạo hồ sơ, thẻ bảo hiểm y tế. 3. Sử dụng tiền đóng BHYT, quỹ BHYT sai mục đích. 4. Cản trở, gây khó khăn hoặc làm thiệt hại đến quyền, lợi ích hợp pháp của người tham gia BHYT và của các bên liên quan đến BHYT. 5. Cố ý báo cáo sai sự thật, cung cấp sai lệch thông tin, số liệu về BHYT. 6. Lợi dụng chức vụ, quyền hạn, chuyên môn, nghiệp vụ để làm trái với quy định của pháp luật về BHYT. “Tăng cường trách nhiệm, nâng cao năng lực thực hiện chính sách pháp luật về bảo hiểm y tế”. “Vì sức khoẻ của bản thân và cộng đồng, hãy tham gia bảo hiểm y tế”. “Tham gia bảo hiểm y tế là góp phần đảm bảo an sinh xã hội và phát triển”."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ",Trách nhiệm đóng BHYT của các đối tượng được quy định như thế nào?,"Xét về trách nhiệm đóng BHYT, các đối tượng được chia thành 5 nhóm sau: 1. Người lao động: do người sử dụng lao động và người lao động đóng. 2. Người hưởng lương hưu, trợ cấp BHXH: do quỹ BHYT đóng. 3. Người thuộc đối tượng được NSNN đóng toàn bộ mức đóng BHYT: do NSNN đóng. 4. Người thuộc đối tượng được NSNN hỗ trợ một phần mức đóng BHYT: do người tham gia BHYT đóng và NSNN hỗ trợ một phần mức đóng. 5. Người thuộc nhóm đối tượng phải tự đóng toàn bộ mức đóng BHYT."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ",Người lao động có trách nhiệm tham gia BHYT được quy định như thế nào ?,"Người lao động có trách nhiệm tham gia BHYT là người làm việc theo hợp đồng lao động không xác định thời hạn, hợp đồng lao động có thời hạn từ đủ 3 tháng trở lên theo quy định của pháp luật về lao động; người quản lý doanh nghiệp hưởng tiền lương, tiền công theo quy định của pháp luật về tiền lương, tiền công; cán bộ, công chức, viên chức theo quy định của pháp luật, bao gồm (Điều 1, Thông tư số 09): 1. Người lao động, kể cả lao động là người nước ngoài, làm việc tại các cơ quan, đơn vị, tổ chức, doanh nghiệp sau: - Doanh nghiệp thành lập, hoạt động theo Luật doanh nghiệp, Luật đầu tư; - Hợp tác xã, liên hiệp hợp tác xã thành lập và hoạt động theo Luật hợp tác xã; - Cơ quan nhà nước, đơn vị sự nghiệp, lực lượng vũ trang, tổ chức chính trị, tổ chức chính trị-xã hội, tổ chức chính trị-xã hội-nghề nghiệp, tổ chức xã hội- nghề nghiệp và tổ chức xã hội khác; - Cơ quan, tổ chức nước ngoài hoặc tổ chức quốc tế tại Việt Nam (trừ trường hợp Điều ước quốc tế mà nước Cộng hoà xã hội chủ nghĩa Việt Nam là thành viên tham gia có quy định khác); - Các tổ chức khác có sử dụng lao động được thành lập và hoạt động theo quy định của pháp luật. 2. Cán bộ, công chức theo quy định của pháp luật về cán bộ, công chức. 3. Người hoạt động không chuyên trách ở xã, phường, thị trấn theo quy định của pháp luật về cán bộ, công chức. 4. Người hoạt động không chuyên trách ở xã, phường, thị trấn theo quy định của pháp luật về cán bộ, công chức."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ",Người sử dụng lao động quy định trong Luật BHYT gồm những đối tượng nào?,"Người sử dụng lao động quy định trong Luật BHYT bao gồm (Khoản 4, Điều 2, Luật BHYT; Điều 1, Thông tư số 09): Cơ quan nhà nước, đơn vị sự nghiệp công lập, đơn vị vũ trang nhân dân, tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội, tổ chức xã hội - nghề nghiệp, doanh nghiệp, hợp tác xã, hộ kinh doanh cá thể và tổ chức khác; tổ chức nước ngoài, tổ chức quốc tế hoạt động trên lãnh thổ Việt Nam có trách nhiệm đóng bảo hiểm y tế. Cụ thể như sau: 1. Cơ quan nhà nước, đơn vị sự nghiệp của nhà nước. 2. Đơn vị vũ trang nhân dân. 3. Tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội, tổ chức xã hội - nghề nghiệp. 4. Doanh nghiệp thành lập theo Luật doanh nghiệp. 5. Các công ty nhà nước thành lập theo Luật doanh nghiệp nhà nước đang trong thời gian chuyển đổi công ty trách nhiệm hữu hạn hoặc công ty cổ phần theo Luật doanh nghiệp. 6. Tổ chức, đơn vị hoạt động theo quy định của pháp luật. 7. Cơ sở ngoài công lập hoạt động trong các lĩnh vực giáo dục - đào tạo; y tế; văn hoá, thể thao, du lịch; khoa học và công nghệ; thông tin tuyên truyền; môi trường; xã hội và các ngành sự nghiệp khác. 8. Hợp tác xã, Liên hiệp Hợp tác xã thành lập, hoạt động theo Luật hợp tác xã. 9. Hộ kinh doanh cá thể, tổ hợp tác, tổ chức khác và cá nhân có thuê mướn, sử dụng và trả công cho người lao đọng theo quy định của pháp luật lao động. 10. Cơ quan, tổ chức, cá nhân nước ngoài, tổ chức quốc tế hoạt động trên lãnh thổ Việt Nam có sử dụng lao động là người Việt Nam, trừ Điều ước quốc tế mà nước Cộng hoà xã hội chủ nghĩa Việt Nam ký kết hoặc tham gia có quy định khác."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ","Người hưởng lương hưu, trợ cấp BHXH tham gia BHYT bao gồm những đối tượng nào?","Người hưởng lương hưu, trợ cấp BHXH tham gia BHYT gồm (Điều 1, Thông tư số 09): 1. Người hưởng lương hưu, trợ cấp mất sức lao động hằng tháng. 2. Người đang hưởng trợ cấp BHXH hằng tháng do bị tai nạn lao động, bệnh nghề nghiệp. 3. Người đã thôi hưởng trợ cấp mất sức lao động đang hưởng trợ cấp hằng tháng từ NSNN. 4. Người đang hưởng trợ cấp thất nghiệp."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ",Các đối tượng được ngân sách nhà nước đóng BHYT gồm những đối tượng nào?,"Các đối tượng được ngân sách nhà nước đóng BHYT gồm (Khoản 1 Điều 13 Luật BHYT; Điều 1, Thông tư số 09): 1. Cán bộ xã, phường, thị trấn đã nghỉ việc đang hưởng trợ cấp từ ngân sách nhà nước hằng tháng hoặc đang hưởng trợ cấp bảo hiểm xã hội hằng tháng. 2. Cựu chiến binh; thanh niên xung phong thời kỳ kháng chiến chống Pháp theo Quyết định số 170/2008/QĐ-TTg ngày 18 tháng 12 năm 2008 của Thủ tướng Chính phủ ; người trực tiếp tham gia kháng chiến chống Mỹ cứu nước theo quy định. 3. Người có công với cách mạng; thân nhân của người có công với cách mạng theo quy định của pháp luật về ưu đãi người có công với cách mạng. 4. Người thuộc diện hưởng trợ cấp bảo trợ xã hội hằng tháng theo quy định của pháp luật. 5. Người thuộc hộ gia đình nghèo; người dân tộc thiểu số đang sinh sống tại vùng có điều kiện kinh tế - xã hội khó khăn, đặc biệt khó khăn. 6. Người đã hiến bộ phận cơ thể người theo quy định của pháp luật về hiến, lấy, ghép mô, bộ phận cơ thể người và hiến, lấy xác. 7. Người lao động nghỉ việc đang hưởng chế độ ốm đau theo quy định của pháp luật về bảo hiểm xã hội do mắc bệnh thuộc danh mục bệnh cần chữa trị dài ngày do Bộ Y tế ban hành. 8. Công nhân cao su đang hưởng trợ cấp hàng tháng theo Quyết định số 206/CP ngày 30/5/1979 của Chính phủ. 9. Trẻ em dưới 6 tuổi. 10. Đại biểu Quốc hội, đại biểu Hội đồng nhân dân các cấp đương nhiệm. 11. Sĩ quan, hạ sĩ quan nghiệp vụ và sĩ quan, hạ sĩ quan chuyên môn kỹ thuật đang công tác trong lực lượng Công an nhân dân. 12. Thân nhân của các đối tượng theo quy định của pháp luật về sĩ quan quân đội nhân dân, nghĩa vụ quân sự, công an nhân dân và cơ yếu."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ","Thân nhân của sỹ quan Quân đội nhân dân, nghĩa vụ quân sự, Công an nhân dân và cơ yếu được ngân sách nhà nước đóng BHYT gồm những đối tượng nào?","Thân nhân của sỹ quan Quân đội nhân dân, nghĩa vụ quân sự, Công an nhân dân và cơ yếu được ngân sách nhà nước đóng BHYT gồm (Khoản 1 Điều 13 và Khoản 5 Điều 15 Luật BHYT): 1. Thân nhân của Sĩ quan, quân nhân chuyên nghiệp thuộc Quân đội nhân dân đang tại ngũ; hạ sĩ quan, binh sĩ đang phục vụ trong Quân đội nhân dân; 2. Thân nhân của Sĩ quan, hạ sĩ quan nghiệp vụ và sĩ quan, hạ sĩ quan chuyên môn, kỹ thuật đang công tác trong lực lượng Công an nhân dân; hạ sĩ quan, chiến sĩ Công an nhân dân phục vụ có thời hạn; 3. Thân nhân của Sĩ quan, quân nhân chuyên nghiệp đang làm công tác cơ yếu tại Ban Cơ yếu Chính phủ và người đang làm công tác cơ yếu hưởng lương theo bảng lương cấp bậc quân hàm sĩ quan Quân đội nhân dân và bảng lương quân nhân chuyên nghiệp thuộc Quân đội nhân dân nhưng không phải là quân nhân, công an nhân dân;"
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ","Các đối tượng được NSNN hỗ trợ một phần mức đóng BHYT gồm những đối tượng nào, mức hỗ trợ là bao nhiêu và khi nào được áp dụng?","Các đối tượng được NSNN hỗ trợ một phần mức đóng BHYT gồm (Khoản 5 Điều 3 Nghị định số 62): 1. Người thuộc hộ gia đình cận nghèo, NSNN hỗ trợ tối thiểu bằng 50% mức đóng, áp dụng từ ngày 01 tháng 7 năm 2009. 2. Học sinh, sinh viên mà thuộc hộ cận nghèo, NSNN hỗ trợ tối thiểu bằng 50% mức đóng, áp dụng từ ngày 01 tháng 01 năm 2010. 3. Học sinh, sinh viên không thuộc hộ cận nghèo, NSNN hỗ trợ tối thiểu bằng 30% mức đóng, áp dụng từ ngày 01 tháng 01 năm 2010. 4. Người thuộc hộ gia đình làm nông nghiệp, lâm nghiệp, ngư nghiệp và diêm nghiệp mà có mức sống trung bình, NSNN hỗ trợ tối thiểu bằng 30% mức đóng, áp dụng từ ngày 01 tháng 01 năm 2012."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ",Các đối tượng phải đóng toàn bộ mức đóng khi tham gia BHYT gồm những đối tượng nào và thời điểm đối tượng có trách nhiệm tham gia BHYT?,"Các đối tượng phải đóng toàn bộ mức đóng khi tham gia BHYT, bao gồm (Điều 13 Luật BHYT và Điều 1 Thông tư số 09): 1. Người thuộc hộ gia đình làm nông nghiệp, lâm nghiệp, ngư nghiệp và diêm nghiệp có trách nhiệm tham gia BHYT từ ngày 01/01/2012. 2. Thân nhân người lao động (bao gồm bố, mẹ đẻ; bố, mẹ vợ hoặc chồng; bố, mẹ nuôi hoặc người nuôi dưỡng hợp pháp; vợ hoặc chồng; con đẻ, con nuôi hợp pháp mà người lao động có trách nhiệm nuôi dưỡng và sống trong cùng một hộ gia đình) có trách nhiệm tham gia BHYT là từ ngày 01/01/2014. 3. Xã viên hợp tác xã, hộ kinh doanh cá thể có trách nhiệm tham gia BHYT từ ngày 01/01/2014."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ",Người có trách nhiệm tham gia BHYT đóng BHYT dựa trên cơ sở nào?,"Căn cứ đóng BHYT là tiền lương, tiền công, tiền trợ cấp, cụ thể như sau (Điều 14, Luật BHYT): 1. Người lao động thuộc đối tượng thực hiện chế độ tiền lương do Nhà nước quy định thì căn cứ để đóng BHYT là tiền lương tháng theo ngạch bậc, cấp quân hàm và các khoản phụ cấp chức vụ, phụ cấp thâm niên vượt khung, phụ cấp thâm niên nghề (nếu có). 2. Người lao động hưởng tiền lương, tiền công theo quy định của người sử dụng lao động thì căn cứ để đóng BHYT là tiền lương, tiền công tháng được ghi trong hợp đồng lao động. 3. Người hưởng lương hưu, trợ cấp mất sức lao động, trợ cấp thất nghiệp hằng tháng thì căn cứ để đóng BHYT là tiền lương hưu, trợ cấp mất sức lao động, trợ cấp thất nghiệp hằng tháng. 4. Các đối tượng khác thì căn cứ để đóng BHYT là mức lương tối thiểu."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ",Trường hợp tất cả các thành viên trong một hộ gia đình cùng tham gia BHYT thì mức đóng BHYT có được giảm trừ không? Áp dụng với đối tượng nào?,"Mức đóng BHYT sẽ được giảm trừ trong trường hợp tất cả các thành viên trong một hộ gia đình cùng tham gia BHYT, cụ thể như sau (Khoản 6 Điều 3 Nghị định số 62): 1. Đối tượng áp dụng: Người thuộc hộ gia đình cận nghèo và người thuộc hộ gia đình làm nông nghiệp, lâm nghiệp, ngư nghiệp và diêm nghiệp mà có mức sống trung bình tham gia BHYT theo hộ gia đình bao gồm toàn bộ người có tên trong sổ hộ khẩu và đang sống chung trong một nhà; Thân nhân của người lao động. 2. Mức đóng của các thành viên như sau: Người thứ nhất đóng bằng mức quy định; người thứ hai, thứ ba, thứ tư đóng lần lượt bằng 90%, 80%, 70% mức đóng của người thứ nhất; từ người thứ năm trở đi đóng bằng 60% mức đóng của người thứ nhất."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ",Đối tượng có thu nhập cao thì mức đóng được tính như thế nào?,"Mức tiền công, tiền lương tối đa để tính mức đóng BHYT là 20 lần mức lương tối thiểu (Điều 14 Luật BHYT)."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ","Mức đóng, trách nhiệm và phương thức đóng BHYT của người lao động được quy định như thế nào và thời điểm áp dụng ?","Từ ngày 01 tháng 01 năm 2010 trở đi, mức đóng hằng tháng của người lao động bằng 4,5% mức tiền lương, tiền công hằng tháng của người lao động, trong đó người sử dụng lao động đóng 2/3 và người lao động đóng 1/3 (Khoản 1, 2, 3, 4, 5 và 6 Điều 15 Luật BHYT và Khoản 2, Điều 3, Nghị định số 62). Phương thức đóng thực hiện như sau: 1. Hằng tháng, người sử dụng lao động đóng BHYT cho người lao động và trích tiền đóng BHYT từ tiền lương, tiền công của người lao động để nộp cùng một lúc vào quỹ BHYT. 2. Ba tháng hoặc 6 tháng một lần đối với các doanh nghiệp nông nghiệp, lâm nghiệp, ngư nghiệp, diêm nghiệp không trả lương theo tháng, người sử dụng lao động đóng BHYT cho người lao động và trích tiền đóng BHYT từ tiền lương, tiền công của người lao động để nộp cùng một lúc vào quỹ BHYT."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ","Mức đóng, trách nhiệm và phương thức đóng BHYT của đối tượng hưởng lương hưu, trợ cấp, người lao động được hưởng chế độ ốm đau và thanh niên xung phong được quy định như thế nào và thời điểm áp dụng?","Luật BHYT (Khoản 1, 2, 3, 4, 5, 6 Điều 15 Luật BHYT và Nghị định số 62) quy định về mức đóng, trách nhiệm và phương thức đóng BHYT từ thời diểm ngày 01 tháng 01 năm 2010 trở đi như sau: 1. Mức đóng hằng tháng của người hưởng lương hưu, trợ cấp mất sức lao động hằng tháng; người đang hưởng trợ cấp BHXH hằng tháng do bị tai nạn lao động, bệnh nghề nghiệp; người đã thôi hưởng trợ cấp mất sức lao động đang hưởng trợ cấp hằng tháng từ ngân sách nhà nước; người đang hưởng trợ cấp thất nghiệp bằng 4,5% mức tiền lương hưu, tiền trợ hằng tháng và do tổ chức BHXH đóng. Hằng tháng, tổ chức BHXH đóng BHYT cho các đối tượng vào quỹ BHYT. 2. Mức đóng hằng tháng của công nhân cao su đang hưởng trợ cấp hằng tháng theo Quyết định số 206/CP ngày 30 tháng 5 năm 1979 của Hội đồng Chính phủ (nay là Chính phủ); người lao động được hưởng chế độ ốm đau theo quy định của pháp luật về BHXH do mắc bệnh thuộc Danh mục bệnh cần chữa trị dài ngày do Bộ Y tế ban hành bằng 4.5% mức lương tối thiểu. Hằng tháng, tổ chức BHXH đóng BHYT cho đối tượng vào quỹ BHYT. 3. Mức đóng hằng tháng của Thanh niên xung phong thời kỳ kháng chiến chống Pháp theo Quyết định số 170/2008/QĐ-TTg ngày 18 tháng 12 năm 2008 của Thủ tướng Chính phủ bằng 4.5% mức lương tối thiểu. Hằng năm, cơ quan, tổ chức, đơn vị quản lý Thanh niên xung phong thời kỳ kháng chiến chống Pháp theo Quyết định số 170/2008/QĐ-TTg ngày 18 tháng 12 năm 2008 của Thủ tướng Chính phủ, đóng bảo BHYT cho các đối tượng này vào quỹ BHYT."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ","Mức đóng, trách nhiệm và phương thức đóng BHYT của đối tượng được NSNN đóng được quy định như thế nào và thời điểm áp dụng?","Từ ngày 01 tháng 01 năm 2010 trở đi, mức đóng BHYT của đối tượng được ngân sách nhà nước đóng bằng 4,5% mức tiền lương tối thiểu và do ngân sách nhà nước đóng (Khoản 2, Điều 3, Nghị định số 62). Hằng năm, cơ quan, tổ chức quản lý đối tượng tham gia BHYT do NSNN đóng, đóng BHYT cho các đối tượng này vào quỹ BHYT."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ","Mức đóng, trách nhiệm và phương thức đóng BHYT của người nước ngoài đang học tập tại Việt Nam được cấp học bổng từ ngân sách của Nhà nước Việt Nam được quy định như thế nào và thời điểm áp dụng ?","Từ ngày 01 tháng 01 năm 2010 trở đi, mức đóng hằng tháng của người nước ngoài đang học tập tại Việt Nam được cấp học bổng từ ngân sách của Nhà nước Việt Nam bằng 3% mức tiền lương tối thiểu và do cơ quan, tổ chức, đơn vị cấp học bổng đóng. Hằng tháng, cơ quan, tổ chức, đơn vị cấp học bổng đóng BHYT cho đối tượng người nước ngoài đang học tập tại Việt Nam được cấp học bổng từ ngân sách của Nhà nước Việt Nam vào quỹ BHYT. (Khoản 2, Điều 3, Nghị định số 62)."
"ĐỐI TƯỢNG, MỨC ĐÓNG, TRÁCH NHIỆM VÀ PHƯƠNG THỨC ĐÓNG BẢO HIỂM Y TẾ",Trách nhiệm và phương thức đóng BHYT của các đối tượng được NSNN hỗ trợ một phần mức đóng khi tham gia BHYT được quy định như thế nào?,"Trách nhiệm và phương thức đóng BHYT của các đối tượng được NSNN hỗ trợ một phần mức đóng được quy định tại (Điều 3, Thông tư số 09). Cụ thể như sau: 1. Người thuộc hộ gia đình cận nghèo: Định kỳ sáu tháng đóng BHYT một lần. Đối tượng trực tiếp đóng phần thuộc trách nhiệm phải đóng cho BHXH. 2. Người thuộc hộ gia đình nông, lâm, ngư và diêm nghiệp có mức sống trung bình: Định kỳ 6 tháng hoặc một năm một lần. Đối tượng trực tiếp đóng phần thuộc trách nhiệm phải đóng cho BHXH."
